freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	cycle number	
9.9968164E+002	1.6356488E+006	4.2475745E+006	4.5516190E+006	-6.8939384E+001	3.000000000000000E+000
7.9423932E+002	1.9615385E+006	4.9559775E+006	5.3300420E+006	-6.8406715E+001	3.000000000000000E+000
6.3100977E+002	2.2974028E+006	5.8148160E+006	6.2522110E+006	-6.8441292E+001	3.000000000000000E+000
5.0112231E+002	2.6448335E+006	6.8839620E+006	7.3745560E+006	-6.8983116E+001	3.000000000000000E+000
3.9808899E+002	2.9975235E+006	8.1977850E+006	8.7286210E+006	-6.9915039E+001	3.000000000000000E+000
3.1631589E+002	3.3739080E+006	9.8601140E+006	1.0421377E+007	-7.1110214E+001	3.000000000000000E+000
2.5120601E+002	3.8132823E+006	1.1956479E+007	1.2549841E+007	-7.2310944E+001	3.000000000000000E+000
1.9955261E+002	4.3359520E+006	1.4538685E+007	1.5171481E+007	-7.3393555E+001	3.000000000000000E+000
1.5852898E+002	4.9882555E+006	1.7733990E+007	1.8422190E+007	-7.4289650E+001	3.000000000000000E+000
1.2592673E+002	1.1375958E+007	2.8507758E+007	3.0693724E+007	-6.8245636E+001	3.000000000000000E+000
9.9968163E+001	1.4306829E+007	3.3374754E+007	3.6311976E+007	-6.6796532E+001	3.000000000000000E+000
7.9415733E+001	1.7169762E+007	3.8862548E+007	4.2486448E+007	-6.6163803E+001	3.000000000000000E+000
6.3082275E+001	1.7788956E+007	3.6073544E+007	4.0221232E+007	-6.3750698E+001	3.000000000000000E+000
5.0112232E+001	2.3578412E+007	5.3698576E+007	5.8647068E+007	-6.6294289E+001	3.000000000000000E+000
3.9808899E+001	2.7104252E+007	6.3465648E+007	6.9011080E+007	-6.6874146E+001	3.000000000000000E+000
3.1629576E+001	3.1987278E+007	7.7406440E+007	8.3755256E+007	-6.7547729E+001	3.000000000000000E+000
2.5120600E+001	3.6991984E+007	9.0843720E+007	9.8086640E+007	-6.7843620E+001	3.000000000000000E+000
1.9955261E+001	4.4029024E+007	1.1058525E+008	1.1902794E+008	-6.8290245E+001	3.000000000000000E+000
1.5846863E+001	5.2570156E+007	1.3254706E+008	1.4259154E+008	-6.8365982E+001	3.000000000000000E+000
1.2587234E+001	1.2148724E+008	1.9975040E+008	2.3379344E+008	-5.8692234E+001	3.000000000000000E+000
9.9968157E+000	1.5003074E+008	2.2521626E+008	2.7061334E+008	-5.6329914E+001	3.000000000000000E+000
7.9395618E+000	1.8239248E+008	2.5077494E+008	3.1008883E+008	-5.3971027E+001	3.000000000000000E+000
6.3131294E+000	2.1791837E+008	2.7980499E+008	3.5465370E+008	-5.2087746E+001	3.000000000000000E+000
5.0128322E+000	2.5868810E+008	3.1143562E+008	4.0486006E+008	-5.0285927E+001	3.000000000000000E+000
3.9819028E+000	3.0835222E+008	3.4488704E+008	4.6263178E+008	-4.8201145E+001	3.000000000000000E+000
3.1603944E+000	3.6693130E+008	3.8134211E+008	5.2920730E+008	-4.6103310E+001	3.000000000000000E+000
2.5108454E+000	4.3896902E+008	4.1111091E+008	6.0141997E+008	-4.3123020E+001	3.000000000000000E+000
1.9955261E+000	5.2106266E+008	4.3992835E+008	6.8194080E+008	-4.0174091E+001	3.000000000000000E+000
1.5840454E+000	6.1180205E+008	4.5272176E+008	7.6109050E+008	-3.6500729E+001	3.000000000000000E+000
1.2595726E+000	7.0352544E+008	4.4839728E+008	8.3427104E+008	-3.2511707E+001	3.000000000000000E+000
1.0004489E+000	7.9118963E+008	4.2824246E+008	8.9965139E+008	-2.8425087E+001	3.000000000000000E+000
1.0000193E+006	2.7467246E+004	4.5615281E+004	5.3246629E+004	-5.8945747E+001	4.000000000000000E+000
7.9432600E+005	3.4710254E+004	4.7309453E+004	5.8676965E+004	-5.3733047E+001	4.000000000000000E+000
6.3095688E+005	4.1955598E+004	4.8242602E+004	6.3934504E+004	-4.8987186E+001	4.000000000000000E+000
5.0119131E+005	4.8724105E+004	4.9565230E+004	6.9503602E+004	-4.5490307E+001	4.000000000000000E+000
3.9810538E+005	5.4964090E+004	5.0950523E+004	7.4946695E+004	-4.2829853E+001	4.000000000000000E+000
3.1623041E+005	6.0267164E+004	5.3558840E+004	8.0626797E+004	-4.1627182E+001	4.000000000000000E+000
2.5119134E+005	6.5503824E+004	5.7049965E+004	8.6864547E+004	-4.1053940E+001	4.000000000000000E+000
1.9952144E+005	7.0723914E+004	6.1801078E+004	9.3921484E+004	-4.1148121E+001	4.000000000000000E+000
1.5848630E+005	7.6069195E+004	6.8148344E+004	1.0213089E+005	-4.1856304E+001	4.000000000000000E+000
1.2588864E+005	8.1866656E+004	7.6077336E+004	1.1175827E+005	-4.2900803E+001	4.000000000000000E+000
1.0001951E+005	8.7981313E+004	8.6327359E+004	1.2326039E+005	-4.4456356E+001	4.000000000000000E+000
7.9433578E+004	9.4086008E+004	9.8734664E+004	1.3638442E+005	-4.6381058E+001	4.000000000000000E+000
6.3095688E+004	1.0080954E+005	1.1442488E+005	1.5249792E+005	-4.8619606E+001	4.000000000000000E+000
5.0117172E+004	1.0833384E+005	1.3326097E+005	1.7174023E+005	-5.0890785E+001	4.000000000000000E+000
3.9814441E+004	1.1687568E+005	1.5665523E+005	1.9545022E+005	-5.3274506E+001	4.000000000000000E+000
3.1621082E+004	1.2568281E+005	1.8505972E+005	2.2370353E+005	-5.5817719E+001	4.000000000000000E+000
2.5117180E+004	1.3578178E+005	2.1995923E+005	2.5849325E+005	-5.8312786E+001	4.000000000000000E+000
1.9951164E+004	1.4537925E+005	2.6320731E+005	3.0068791E+005	-6.1086487E+001	4.000000000000000E+000
1.5849604E+004	1.5737267E+005	3.1661713E+005	3.5357116E+005	-6.3570599E+001	4.000000000000000E+000
1.2587890E+004	1.6878252E+005	3.8284019E+005	4.1839472E+005	-6.6208786E+001	4.000000000000000E+000
